,Country,Cases,Deaths,Recovered,Date

10,WORLD,6054187,368711,2562191,2020-05-31

10,WORLD,6152160,371700,2637496,2020-06-01

10,WORLD,6259887,375208,2692528,2020-06-02

10,WORLD,6378237,380251,2729509,2020-06-03

10,WORLD,6513301,386091,2808183,2020-06-04

10,WORLD,6632985,391136,2869963,2020-06-05

10,WORLD,6724516,394018,2996832,2020-06-06

10,WORLD,6896179,399785,3087315,2020-06-07

10,WORLD,6981701,401933,3130718,2020-06-08
10,WORLD,7085894,405168,3180479,2020-06-09
10,WORLD,7185573,408954,3352665,2020-06-10
